,rsep,g,sqrt_g
0,25.0,4.022762825652406,2.007797955176323
1,35.0,3.687747665903922,1.9205528209599572
2,45.0,3.137965986690128,1.771442383597664
3,55.0,2.6009319447878205,1.6127414607150155
4,65.0,2.159099158255377,1.469387436389977
5,75.0,1.8102427538451653,1.3454529102299793
6,85.0,1.533735433433192,1.2384399747939345
7,95.0,1.3110960303176886,1.1450310118253502
8,105.0,1.1326313269687383,1.0642510569147718
9,115.0,0.9842986936864232,0.9921180973858953
10,125.0,0.8570042718821405,0.9257470465895111
11,135.0,0.7515135277005989,0.8668985869487094
12,145.0,0.6793883826300786,0.8242508372714136
13,175.0,0.5564302257562935,0.7459425072524695
14,225.0,0.36179289389855873,0.6014920992868265
